Name,Day,Friends,Description,Group,Notes,Type,URL,Visited
Kansai International Airport,Day 1,Nanako,"10:30-12:00 — Touch down, breeze through Smart Immigration, and pick up ICOCA & Haruka passes for the fortnight of Kansai adventures.",Osaka,Follow signage to JR Ticket Office (Level 2) for the ICOCA & HARUKA bundle; allow 45 minutes for immigration & luggage. Booking: Pre-fill Visit Japan Web QR codes; seat reservations optional on Haruka Express (green car recommended with luggage). With Henry (landing solo) Nanako working day Meet Nana after she clocks off; keep evening gentle.,Arrival,https://maps.google.com/?cid=12104414214768042484,No
Hotel Agora Osaka Moriguchi,Day 1,Nanako,13:30-14:15 — Check into a sleek Keihan-line base so Nana can commute easily on work days while Henry explore nearby neighbourhood cafés.,Osaka (Keihan Line),"Haruka to Tennoji (45 min) → Osaka Loop to Kyobashi → Keihan express to Moriguchishi (total ~75 min). Request corner room with river view. Booking: Reserve flexible twin (Nov 14–18, 20–22, 25–26) on official site with breakfast add-on; note late check-in if flights delay. With Henry + Nana Budget around £129.73 Nanako working day Drop bags, shower, and short nap before meeting Nana.",Lodging,https://maps.google.com/?cid=13148145580788093834,No
Torisei Hirakata sake dinner,Day 1,Nanako,"19:00-21:00 — Unwind with yakitori, warming nabe, and sake flights in Nana’s neighbourhood.",Hirakata,Keihan express from Moriguchishi to Hirakatashi after Nana finishes work; book corner booth for two. Booking: Reserve 19:00 counter seats via Tabelog; request gentle pace service for jet-lag. With Henry + Nana Budget around £37.84 Nanako working day Toast to the trip with light sake; stroll home via Hirakata river if energy allows.,Food,https://maps.google.com/?cid=2157355754970212496,No
Brooklyn Roasting Company Kitahama,Day 2,Osaka,09:00-09:45 — Fuel up riverside with Kyoto-sourced beans and plan the day over almond croissants in the airy loft.,Osaka,Keihan express to Kitahama (20 min). Grab window seats upstairs for canal views. Booking: None; arrive before 09:30 to beat the weekend crowd. With Henry + Nana Budget around £9.73 Plot vintage stops; share almond croissant.,Coffee,https://maps.google.com/?cid=3143396422888168986,No
Brooklyn Roasting Company Kitahama,Day 2,Henry,09:00-09:45 — Fuel up riverside with Kyoto-sourced beans and plan the day over almond croissants in the airy loft.,Osaka,Keihan express to Kitahama (20 min). Grab window seats upstairs for canal views. Booking: None; arrive before 09:30 to beat the weekend crowd. With Henry + Nana Budget around £9.73 Plot vintage stops; share almond croissant.,Coffee,https://maps.google.com/?cid=3143396422888168986,No
Brooklyn Roasting Company Kitahama,Day 2,Nana,09:00-09:45 — Fuel up riverside with Kyoto-sourced beans and plan the day over almond croissants in the airy loft.,Osaka,Keihan express to Kitahama (20 min). Grab window seats upstairs for canal views. Booking: None; arrive before 09:30 to beat the weekend crowd. With Henry + Nana Budget around £9.73 Plot vintage stops; share almond croissant.,Coffee,https://maps.google.com/?cid=3143396422888168986,No
Shinsaibashi-suji & Amerikamura treasure hunt,Day 2,Osaka,"10:00-12:30 — Blend Shinsaibashi flagship finds with Amerikamura thrift gems—hunt vintage Harajuku vibes, refill skincare at @cosme, and hit Kinji for statement pieces.",Osaka,Walk from Kitahama via Midosuji (15 min). Use lockers at Shinsaibashi Station to store purchases before lunch. Booking: None; map favourite boutiques in advance on shared Google Map. With Henry + Nana Budget around £81.08 Add Soosh + WEGO + Kinji to shared map.,Shopping,https://maps.google.com/?cid=7087755665176380195,No
Shinsaibashi-suji & Amerikamura treasure hunt,Day 2,Henry,"10:00-12:30 — Blend Shinsaibashi flagship finds with Amerikamura thrift gems—hunt vintage Harajuku vibes, refill skincare at @cosme, and hit Kinji for statement pieces.",Osaka,Walk from Kitahama via Midosuji (15 min). Use lockers at Shinsaibashi Station to store purchases before lunch. Booking: None; map favourite boutiques in advance on shared Google Map. With Henry + Nana Budget around £81.08 Add Soosh + WEGO + Kinji to shared map.,Shopping,https://maps.google.com/?cid=7087755665176380195,No
Shinsaibashi-suji & Amerikamura treasure hunt,Day 2,Nana,"10:00-12:30 — Blend Shinsaibashi flagship finds with Amerikamura thrift gems—hunt vintage Harajuku vibes, refill skincare at @cosme, and hit Kinji for statement pieces.",Osaka,Walk from Kitahama via Midosuji (15 min). Use lockers at Shinsaibashi Station to store purchases before lunch. Booking: None; map favourite boutiques in advance on shared Google Map. With Henry + Nana Budget around £81.08 Add Soosh + WEGO + Kinji to shared map.,Shopping,https://maps.google.com/?cid=7087755665176380195,No
Donguri Republic Shinsaibashi Ghibli store,Day 2,Osaka,12:30-13:00 — Pop into the Ghibli flagship for Totoro-themed homeware and party décor inspiration.,Osaka Minami,Inside Shinsaibashi PARCO B1; use Tax-Free counter for larger buys. Booking: None; queue may form for photo spots. With Henry + Nana Budget around £43.24 Pick up soot sprite lanterns for birthday suite styling.,Shopping,https://maps.google.com/?cid=3140939674230622171,No
Donguri Republic Shinsaibashi Ghibli store,Day 2,Henry,12:30-13:00 — Pop into the Ghibli flagship for Totoro-themed homeware and party décor inspiration.,Osaka Minami,Inside Shinsaibashi PARCO B1; use Tax-Free counter for larger buys. Booking: None; queue may form for photo spots. With Henry + Nana Budget around £43.24 Pick up soot sprite lanterns for birthday suite styling.,Shopping,https://maps.google.com/?cid=3140939674230622171,No
Donguri Republic Shinsaibashi Ghibli store,Day 2,Nana,12:30-13:00 — Pop into the Ghibli flagship for Totoro-themed homeware and party décor inspiration.,Osaka Minami,Inside Shinsaibashi PARCO B1; use Tax-Free counter for larger buys. Booking: None; queue may form for photo spots. With Henry + Nana Budget around £43.24 Pick up soot sprite lanterns for birthday suite styling.,Shopping,https://maps.google.com/?cid=3140939674230622171,No
Kuromon Ichiba Market tasting lunch,Day 2,Osaka,"13:15-14:30 — Grazing lunch of toro nigiri, charcoal-grilled scallops, and strawberry daifuku while chatting with fishmongers.",Osaka,"5-minute walk to Kuromon. Bring cash for stall snacks; aim for 6-8 bites (~¥3,000 pp). Booking: Optional: pre-book Kuromon tasting tour for insider stalls. With Henry + Nana Budget around £32.43 Pick up fruit gift for Nana’s parents.",Food,https://maps.google.com/?cid=12402117845945925953,No
