Name,Day,Friends,Description,Group,Notes,Type,URL,Visited
Kansai International Airport,Day 1,Nanako,"10:30-12:00 — Touch down, breeze through Smart Immigration, and pick up ICOCA & Haruka passes for the fortnight of Kansai adventures.",Osaka,Follow signage to JR Ticket Office (Level 2) for the ICOCA & HARUKA bundle; allow 45 minutes for immigration & luggage. Booking: Pre-fill Visit Japan Web QR codes; seat reservations optional on Haruka Express (green car recommended with luggage). With You (landing solo) Nanako working day Meet Nana after she clocks off; keep evening gentle.,Arrival,https://maps.google.com/?cid=12104414214768042484,No
Hotel Agora Osaka Moriguchi,Day 1,Nanako,13:30-14:15 — Check into a sleek Keihan-line base so Nana can commute easily on work days while you explore nearby neighbourhood cafés.,Osaka (Keihan Line),"Haruka to Tennoji (45 min) → Osaka Loop to Kyobashi → Keihan express to Moriguchishi (total ~75 min). Request corner room with river view. Booking: Reserve flexible twin (Nov 14–18, 20–22, 25–26) on official site with breakfast add-on; note late check-in if flights delay. With You + Nana Budget around £129.73 Nanako working day Drop bags, shower, and short nap before meeting Nana.",Lodging,https://maps.google.com/?cid=13148145580788093834,No
Torisei Hirakata sake dinner,Day 1,Nanako,"19:00-21:00 — Unwind with yakitori, warming nabe, and sake flights in Nana’s neighbourhood.",Hirakata,Keihan express from Moriguchishi to Hirakatashi after Nana finishes work; book corner booth for two. Booking: Reserve 19:00 counter seats via Tabelog; request gentle pace service for jet-lag. With You + Nana Budget around £37.84 Nanako working day Toast to the trip with light sake; stroll home via Hirakata river if energy allows.,Food,https://maps.google.com/?cid=2157355754970212496,No
Brooklyn Roasting Company Kitahama,Day 2,You + Nana,09:00-09:45 — Fuel up riverside with Kyoto-sourced beans and plan the day over almond croissants in the airy loft.,Osaka,Keihan express to Kitahama (20 min). Grab window seats upstairs for canal views. Booking: None; arrive before 09:30 to beat the weekend crowd. With You + Nana Budget around £9.73 Plot vintage stops; share almond croissant.,Coffee,https://maps.google.com/?cid=3143396422888168986,No
Shinsaibashi-suji & Amerikamura treasure hunt,Day 2,You + Nana,"10:00-12:30 — Blend Shinsaibashi flagship finds with Amerikamura thrift gems—hunt vintage Harajuku vibes, refill skincare at @cosme, and hit Kinji for statement pieces.",Osaka,Walk from Kitahama via Midosuji (15 min). Use lockers at Shinsaibashi Station to store purchases before lunch. Booking: None; map favourite boutiques in advance on shared Google Map. With You + Nana Budget around £81.08 Add Soosh + WEGO + Kinji to shared map.,Shopping,https://maps.google.com/?cid=7087755665176380195,No
Donguri Republic Shinsaibashi Ghibli store,Day 2,You + Nana,12:30-13:00 — Pop into the Ghibli flagship for Totoro-themed homeware and party décor inspiration.,Osaka Minami,Inside Shinsaibashi PARCO B1; use Tax-Free counter for larger buys. Booking: None; queue may form for photo spots. With You + Nana Budget around £43.24 Pick up soot sprite lanterns for birthday suite styling.,Shopping,https://maps.google.com/?cid=3140939674230622171,No
Kuromon Ichiba Market tasting lunch,Day 2,You + Nana,"13:15-14:30 — Grazing lunch of toro nigiri, charcoal-grilled scallops, and strawberry daifuku while chatting with fishmongers.",Osaka,"5-minute walk to Kuromon. Bring cash for stall snacks; aim for 6-8 bites (~¥3,000 pp). Booking: Optional: pre-book Kuromon tasting tour for insider stalls. With You + Nana Budget around £32.43 Pick up fruit gift for Nana’s parents.",Food,https://maps.google.com/?cid=12402117845945925953,No
Namba Yasaka Shrine guardian photos,Day 2,You + Nana,14:45-15:15 — Snap surreal shots in front of the iconic lion-head stage and leave ema wishes for the journey.,Osaka,10-minute stroll from Kuromon via backstreets; best lighting mid-afternoon. Booking: None. With You + Nana Budget around £2.70 Collect goshuin stamp for the travel shrine book.,Culture,https://maps.google.com/?cid=9278387310004857503,No
Dōtonbori promenade,Day 2,You + Nana,"15:30-16:30 — Ease into the neon with a golden-hour stroll beneath the Glico sign, sampling street snacks and capturing the first couple snaps.",Osaka,Keihan line to Yodoyabashi → Midosuji subway to Namba (30 min). Hit Don Quijote for Suica/ICOCA top-ups and trip mascot souvenirs. Booking: None; aim for 17:00 for dusk reflections. With You + Nana Budget around £10.81 Grab taiyaki and take midday photo set.,Neighbourhood Stroll,https://maps.google.com/?cid=16446419638008461065,No
Tonbori River Cruise,Day 2,You + Nana,17:00-17:30 — Sail past Osaka’s LED canyon; perfect for first-night wow shots and a quick rest for jet-lagged feet.,Osaka,"Board at Tazaemon-bashi Dock. Arrive 15 minutes early to swap QR voucher for tickets. Booking: Reserve online (¥1,200 pp); choose front-row seats for unobstructed photos. With You + Nana Budget around £12.97 Opt for sunset golden light.",Experience,https://maps.google.com/?cid=11944000788392540382,No
Mizuno Okonomiyaki,Day 2,You + Nana,"18:00-19:15 — Celebrate night one with caramelised okonomiyaki on a teppan counter, pairing yuzu highballs with the flagship yam batter.",Osaka,"Queue likely ~30 minutes; add name at 18:30 then explore Hozenji Yokocho until called. Order “Yamaimo-yaki” and seasonal special. Booking: No reservations; cash-focused (¥2,500 pp). With You + Nana Budget around £27.03 Request English menu for limited-time toppings.",Food,https://maps.google.com/?cid=14993068628475195202,No
Hozenji Yokocho lantern walk,Day 2,You + Nana,"19:30-20:00 — Wind down along the mossy alley, wash the Fudō-myōō statue for blessings, and grab warabi-mochi to-go for the train ride home.",Osaka,2-minute walk from Mizuno. Keihan trains run until after midnight back to Moriguchishi (last rapid ~23:50). Booking: None. With You + Nana Budget around £6.49 Collect omamori for safe travels + relationship luck.,Night Stroll,https://maps.google.com/?cid=1940503935653472466,No
